auctions,bandwidth_exponent,bandwidth_rule,repetitions,bandwidth,regularized_target,regularization_bias,mean_estimate,bias_exact,rmse_exact,bias_regularized,rmse_regularized,mean_standard_error,exact_coverage,regularized_coverage,no_root_rate,multiple_root_rate
500,0.0,Fixed,200,0.15,0.831833385726398,0.059976678044277,0.8313571347318789,0.059500427049758026,0.06904802319447818,-0.0004762509945190076,0.03503648816550252,0.03349734914865263,0.635,0.9,0.0,0.0
500,0.2,$n^{-0.2}$,200,0.15,0.831833385726398,0.059976678044277,0.8313571347318789,0.059500427049758026,0.06904802319447818,-0.0004762509945190076,0.03503648816550252,0.03349734914865263,0.635,0.9,0.0,0.0
500,0.35,$n^{-0.35}$,200,0.15,0.831833385726398,0.059976678044277,0.8313571347318789,0.059500427049758026,0.06904802319447818,-0.0004762509945190076,0.03503648816550252,0.03349734914865263,0.635,0.9,0.0,0.0
500,0.5,$n^{-0.5}$,200,0.15,0.831833385726398,0.059976678044277,0.8313571347318789,0.059500427049758026,0.06904802319447818,-0.0004762509945190076,0.03503648816550252,0.03349734914865263,0.635,0.9,0.0,0.0
2000,0.0,Fixed,200,0.15,0.831833385726398,0.059976678044277,0.834441382716022,0.06258467503390108,0.06481586674726536,0.0026079969896240286,0.01706038338954158,0.017152117141676068,0.01,0.945,0.0,0.0
2000,0.2,$n^{-0.2}$,200,0.1136787424882798,0.8127861642318847,0.0409294565497637,0.8171007074086936,0.04524399972657258,0.051205178641922894,0.004314543176808848,0.024363211843221398,0.025634495323952667,0.59,0.95,0.0,0.0
2000,0.35,$n^{-0.35}$,200,0.0923358310008687,0.8019292095809033,0.0300725018987824,0.8070613759003962,0.03520466821827526,0.04815800682871705,0.0051321663194928745,0.033259045213097346,0.034268684759419556,0.82,0.93,0.0,0.0
2000,0.5,$n^{-0.5}$,200,0.075,0.7935205127156687,0.0216638050335478,0.7998567606198655,0.028000052937744564,0.05118678904818266,0.006336247904196759,0.04331549891263048,0.045140668431484975,0.805,0.885,0.0,0.025
10000,0.0,Fixed,200,0.15,0.831833385726398,0.059976678044277,0.8334471428905549,0.061590435208433936,0.06207013906677311,0.0016137571641568907,0.007869222756354129,0.007563168640774487,0.0,0.95,0.0,0.0
10000,0.2,$n^{-0.2}$,200,0.0823920407479588,0.7970444208740562,0.0251877131919353,0.7984144861924145,0.026557778510293475,0.03270076818691923,0.0013700653183581497,0.019128557697573274,0.01723184085221395,0.6,0.93,0.0,0.0
10000,0.35,$n^{-0.35}$,200,0.0525691264789565,0.7837066349224592,0.0118499272403382,0.7852005294934861,0.01334382181136524,0.035356606348301116,0.001493894571026972,0.03277596303580725,0.028927190556617854,0.82,0.87,0.0,0.105
10000,0.5,$n^{-0.5}$,200,0.0335410196624968,0.7770620053567969,0.005205297674676,0.7703470903757659,-0.0015096173063549455,0.04746624647137549,-0.006714914981030976,0.04791508836339754,0.02983886377709065,0.73,0.73,0.0,0.69
