auctions,repetition,fold,training_auctions,heldout_auctions,reserve_estimate,reserve_error,training_checkpoint_w1,validation_max_bid_w1,latent_value_w1,best_step
500,1,1,333,167,0.7412349581718445,-0.0306217495102764,0.0438777195363968,0.0847274067483141,0.0792820381680665,1161
500,1,2,333,167,0.7686616778373718,-0.003195029844749,0.0315079735215709,0.0605339102972341,0.0926098986738726,621
500,1,3,334,166,0.687494158744812,-0.0843625489373088,0.051334896372995,0.0532653517517613,0.0451330255337469,981
500,2,1,333,167,0.7552242279052734,-0.0166324797768474,0.030946795623165,0.0966682923248076,0.0991426623896728,1061
500,2,2,333,167,0.718169093132019,-0.0536876145501018,0.0263830259243378,0.0808881284146511,0.0673157483725008,1200
500,2,3,334,166,0.7935696244239807,0.0217129167418598,0.028616336583354,0.1007421150824676,0.1219439939851724,1021
500,3,1,333,167,0.7072727680206299,-0.064583939661491,0.0543951203233159,0.0986379485397563,0.0894125689424,1061
500,3,2,333,167,0.7067727446556091,-0.0650839630265117,0.0386329327179878,0.0468386800433537,0.0698468441207844,761
500,3,3,334,166,0.7236779928207397,-0.0481787148613811,0.0472339939155211,0.1286467475701635,0.0620280324871428,1121
500,4,1,333,167,0.7478354573249817,-0.0240212503571392,0.0377293311635515,0.1036282496587715,0.1058937729731679,1021
500,4,2,333,167,0.7123158574104309,-0.0595408502716899,0.0345106815996158,0.078337834798183,0.0692484493747477,1181
500,4,3,334,166,0.7470510601997375,-0.0248056474823833,0.0473062865526628,0.0601373012021998,0.0945846771655823,881
500,5,1,333,167,0.7049031853675842,-0.0669535223145366,0.0476499228471663,0.0945068349714203,0.0532472414957696,721
500,5,2,333,167,0.8301674723625183,0.0583107646803974,0.047935369953788,0.1195275959366322,0.1441512073259903,601
500,5,3,334,166,0.7454482913017273,-0.0264084163803935,0.0475034746900755,0.1207009465936182,0.0891076915473424,801
2000,1,1,1333,667,0.8040826320648193,0.0322259243826984,0.0380407483267767,0.0616937424877058,0.1070458319877294,1121
2000,1,2,1333,667,0.7633212804794312,-0.0085354272026897,0.022800357288331,0.0406591123029715,0.0908258084357752,1121
2000,1,3,1334,666,0.781608521938324,0.009751814256203,0.0348624017109666,0.0305459659771171,0.103594974201363,1101
2000,2,1,1333,667,0.7213715314865112,-0.0504851761956096,0.0237965091869995,0.0233654012045584,0.0706275715066165,1101
2000,2,2,1333,667,0.7617148160934448,-0.010141891588676,0.0263180211065162,0.0586034967431466,0.0926924075544144,1181
2000,2,3,1334,666,0.7677014470100403,-0.0041552606720806,0.033513271032612,0.0590617084168498,0.0957341624588162,981
2000,3,1,1333,667,0.6857059001922607,-0.0861508074898601,0.0285527702997104,0.0435940696086883,0.0572827980873631,1181
2000,3,2,1333,667,0.7533016204833984,-0.0185550871987224,0.0279655441968584,0.0490386622688544,0.0860382331964236,821
2000,3,3,1334,666,0.7458156943321228,-0.026041013349998,0.0282336950940442,0.0389754060980187,0.0833731501107744,1200
2000,4,1,1333,667,0.7649654746055603,-0.0068912330765605,0.0354525318163106,0.0457813078234568,0.0990025117929432,1181
2000,4,2,1333,667,0.7233402729034424,-0.0485164347786785,0.0401983087452625,0.0569792932647043,0.0819411496332721,1041
2000,4,3,1334,666,0.7280977964401245,-0.0437589112419963,0.0379156165705472,0.0578655287860919,0.0784483215513173,1141
2000,5,1,1333,667,0.8006750345230103,0.0288183268408893,0.0333218632917868,0.0508722077582508,0.1085943380586678,841
2000,5,2,1333,667,0.7497269511222839,-0.0221297565598369,0.0395010658538777,0.0635417307531887,0.0903192483991254,1101
2000,5,3,1334,666,0.7419484257698059,-0.0299082819123149,0.0398695090088508,0.0272680690262985,0.0793468097657573,941
10000,1,1,6666,3334,0.6683569550514221,-0.1034997526306987,0.0429047975116755,0.0515588119816415,0.0527278530268379,1001
10000,1,2,6667,3333,0.7213775515556335,-0.0504791561264873,0.0302566093792758,0.0338966501701505,0.0680858967818492,1161
10000,1,3,6667,3333,0.7683103084564209,-0.0035463992256999,0.0274863585759241,0.0317573927711475,0.0959512229905615,1181
10000,2,1,6666,3334,0.7248736619949341,-0.0469830456871868,0.0254193865299415,0.0408136933170808,0.074358896715637,1181
10000,2,2,6667,3333,0.7933962345123291,0.0215395268302082,0.0321410170259937,0.0496944875684462,0.1265701314684317,841
10000,2,3,6667,3333,0.7603451609611511,-0.0115115467209697,0.0298044140016943,0.0251716215777517,0.08944410291815,1181
10000,3,1,6666,3334,0.7979530692100525,0.0260963615279316,0.0385250700281052,0.0392483054248915,0.1222329062159001,801
10000,3,2,6667,3333,0.749017059803009,-0.0228396478791118,0.0241808380961231,0.0323543960608735,0.0846792366100359,1181
10000,3,3,6667,3333,0.6854467988014221,-0.0864099088806987,0.0314270270450252,0.0250574132705679,0.0465338364127199,1181
10000,4,1,6666,3334,0.7941498160362244,0.0222931083541034,0.0290901506645613,0.037093328398274,0.1102975347567885,1200
10000,4,2,6667,3333,0.7386239171028137,-0.0332327905793071,0.0266592224508042,0.0452269168313519,0.0767800998902284,901
10000,4,3,6667,3333,0.7988300323486328,0.0269733246665119,0.0306001655403035,0.0455409088575136,0.1151775615738569,1200
10000,5,1,6666,3334,0.7908629775047302,0.0190062698226093,0.0315459139274977,0.0253447916228273,0.1048804156602306,1200
10000,5,2,6667,3333,0.7804490923881531,0.0085923847060321,0.0305438695966442,0.0330013201405099,0.0983150270281506,1061
10000,5,3,6667,3333,0.7261893153190613,-0.0456673923630596,0.0304174192128901,0.047071314036396,0.0663630864227775,1141
