auctions,method,repetitions,true_reserve,mean_estimate,bias,standard_deviation,rmse,mean_revenue_regret,mean_validation_max_bid_w1,mean_fold_reserve_sd
500,Direct inversion,5,0.7718567076821209,0.8245419599439832,0.0526852522618622,0.0608361825396016,0.0757401392307239,0.0004082031127497,,
500,WGAN-GP,5,0.7718567076821209,0.7301280975341797,-0.0417286101479411,0.0610724840015299,0.068739766849856,8.565457269138869e-05,,
500,Fold-averaged WGAN,5,0.7718567076821209,0.7393199046452841,-0.0325368030368368,0.0192148846521666,0.0367969154361445,3.666515075697596e-05,0.0885191562622223,0.0345623060998148
2000,Direct inversion,5,0.7718567076821209,0.7962115695594426,0.0243548618773217,0.0346059633007548,0.0393854980143957,9.67326115015844e-05,,
2000,WGAN-GP,5,0.7718567076821209,0.7297694325447083,-0.0420872751374126,0.0444041362535554,0.0578681309671543,8.482162683830496e-05,,
2000,Fold-averaged WGAN,5,0.7718567076821209,0.7528918266296387,-0.0189648810524822,0.021472240188785,0.0269909687176043,2.1677215268489648e-05,0.0471897135013268,0.0274704077780577
10000,Direct inversion,5,0.7718567076821209,0.7595853885423901,-0.0122713191397307,0.0648403399581978,0.05927900996259,0.0001078029398547,,
10000,WGAN-GP,5,0.7718567076821209,0.7246559858322144,-0.0472007218499065,0.0435631069775565,0.0612054211225008,7.126925205101593e-05,,
10000,Fold-averaged WGAN,5,0.7718567076821209,0.7532121300697326,-0.0186445776123882,0.0223824075482487,0.0273568640101363,2.06972332602362e-05,0.0375220901352949,0.0417808102123964
