dgp,bidders,auctions,repetitions,exact_reserve,regularized_target,regularization_bias,dml_target_bias,dml_target_rmse,target_coverage,dml_exact_rmse,direct_exact_rmse,multiple_root_rate,missing_root_rate,mean_maxima_below_exact
Baseline,3,2000,200,0.7718567077226953,0.819023409985223,0.04716670226252773,0.0007644984773614622,0.011952336797895688,0.965,0.04939305519378202,0.04854794042561059,0.0,0.0,55.45
Baseline,3,10000,200,0.7718567077226953,0.819023409985223,0.04716670226252773,0.0004380516011479707,0.005276885042334411,0.96,0.0478943234315497,0.03093683021825644,0.0,0.0,277.645
Baseline,5,2000,200,0.7718567077226953,0.8318550650209366,0.05999835729824132,-0.0005704932253723416,0.017177427797539297,0.945,0.06185797920626628,0.05807556917754957,0.0,0.0,4.845
Baseline,5,10000,200,0.7718567077226953,0.8318550650209366,0.05999835729824132,0.0001125245814850384,0.0078448554140554,0.945,0.06062051810273821,0.051248252860384876,0.0,0.0,24.845
Baseline,10,2000,200,0.7718567077226953,0.853829374807428,0.08197266708473272,0.008780547304738597,0.04773728475666243,0.775,0.10216602305556023,0.22834832448452444,0.13,0.0,0.01
Baseline,10,10000,200,0.7718567077226953,0.853829374807428,0.08197266708473272,0.001775267672676006,0.020605631718576153,0.87,0.08622735679204792,0.15594086191413592,0.0,0.0,0.04
Heavy tail,3,2000,200,1.0026603621601993,1.047879714507363,0.04521935234716379,0.001909591018414672,0.03709696610179669,0.94,0.05994727399020029,0.08525847782641044,0.0,0.0,252.595
Heavy tail,3,10000,200,1.0026603621601993,1.047879714507363,0.04521935234716379,-0.001781171201534924,0.01724590456708838,0.92,0.04670250779913654,0.054309505458517725,0.0,0.0,1258.675
Heavy tail,5,2000,200,1.0026603621601993,1.0766509324424551,0.07399057028225586,0.009739309289443911,0.050706308742092705,0.92,0.09740106947002342,0.12668604841905803,0.0,0.0,63.615
Heavy tail,5,10000,200,1.0026603621601993,1.0766509324424551,0.07399057028225586,0.00040683095640485555,0.023131622299637684,0.925,0.07790943299660369,0.06940727949151722,0.0,0.0,317.465
Heavy tail,10,2000,200,1.0026603621601993,1.1298269438804098,0.12716658172021056,0.004700480075351506,0.12164013849691656,0.78,0.17934087868415513,0.1574617088818804,0.095,0.0,2.025
Heavy tail,10,10000,200,1.0026603621601993,1.1298269438804098,0.12716658172021056,-0.0008315508263945553,0.04679663369697412,0.935,0.13472109515414926,0.10010131546222605,0.0,0.0,9.685
Mixture,3,2000,200,0.7580282496557116,0.8455869364209014,0.08755868676518985,-0.00039390653705228206,0.015656115687097814,0.935,0.08855878109068224,0.05501732520746621,0.0,0.0,31.155
Mixture,3,10000,200,0.7580282496557116,0.8455869364209014,0.08755868676518985,0.0004962917707236114,0.007105361380570067,0.94,0.08833979341037078,0.031502266446095675,0.0,0.0,157.545
Mixture,5,2000,200,0.7580282496557116,0.8749741936852664,0.11694594402955483,0.0002529902631044084,0.023824015321028437,0.92,0.1195956098746038,0.07360329923356493,0.0,0.0,2.0
Mixture,5,10000,200,0.7580282496557116,0.8749741936852664,0.11694594402955483,-0.00027787814611663573,0.009655617193750684,0.94,0.11706661062878022,0.048005383353744734,0.0,0.0,9.97
Mixture,10,2000,200,0.7580282496557116,0.9240290010881258,0.16600075143241422,0.014647924444428122,0.06892027021472688,0.785,0.19279363592193008,0.29462784239886675,0.125,0.0,0.0
Mixture,10,10000,200,0.7580282496557116,0.9240290010881258,0.16600075143241422,0.0023962957398658375,0.025588809754384673,0.895,0.17031327149613534,0.19978802464551906,0.0,0.0,0.005
