auctions,method,repetitions,mean_estimate,bias_regularized,rmse_regularized,mean_standard_error,regularized_coverage,no_root_rate,mean_nuisance_cdf_error,mean_nuisance_density_error,mean_maxima_below_exact
500,Orthogonal WGAN-DML,5,0.862336887944901,0.030508530739125017,0.105401661626177,0.0374312020982732,0.4,0.0,,,
500,Empirical-local DML,200,0.8313571347318789,-0.00047625099451901353,0.03503648816550256,0.033497349148652676,0.9,0.0,-0.0005925701344604846,-0.0017926763014810255,1.05
500,Oracle-local score,200,0.8272390409401521,-0.004594344786245835,0.031145643219231696,0.030410305158120918,0.94,0.0,0.0,0.0,1.05
2000,Orthogonal WGAN-DML,5,0.8748550721527939,0.04302671494701776,0.04679072365386288,0.026894770997821282,0.6,0.0,,,
2000,Empirical-local DML,200,0.834441382716022,0.0026079969896240325,0.017060383389541623,0.017152117141676117,0.945,0.0,6.291187915090643e-05,0.00013076613336690074,5.035
2000,Oracle-local score,200,0.8328886864727515,0.0010553007463535503,0.016353796080585317,0.016706577348016914,0.96,0.0,0.0,0.0,5.035
10000,Orthogonal WGAN-DML,5,0.8981829555795338,0.06635459837375761,0.06876846241671537,0.0114885958009285,0.0,0.0,,,
10000,Empirical-local DML,200,0.8334471428905549,0.001613757164156901,0.00786922275635417,0.007563168640774537,0.95,0.0,2.375039479151355e-05,-0.00023409661847117154,25.69
10000,Oracle-local score,200,0.833236314343089,0.0014029286166909304,0.007770388691927105,0.007536450495521338,0.955,0.0,0.0,0.0,25.69
