auctions,bandwidth_exponent,method,repetitions,bandwidth,population_target_bias,bias_exact,rmse_exact,mean_standard_error,exact_coverage,target_coverage,mean_set_length,mean_hull_length,mean_components,mean_bias_point,mean_bias_upper,multiple_root_rate,missing_root_rate,mean_chain_count
500,0.2,Richardson Wald,200,0.15,0.0268503656764171,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.885,0.895,0.195908928990822,0.195908928990822,1.0,0.01043675573026255,0.030980236464516343,0.0,0.0,1.0
500,0.2,Selected-root bias envelope,200,0.15,0.0268503656764171,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.965,0.98,0.2578694019198548,0.2578694019198548,1.0,0.01043675573026255,0.030980236464516343,0.0,0.0,1.0
500,0.2,Root-robust bias envelope,200,0.15,0.0268503656764171,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.965,0.98,0.2578694019198548,0.2578694019198548,1.0,0.01043675573026255,0.030980236464516343,0.0,0.0,1.0
500,0.35,Richardson Wald,200,0.15,0.0268503656764171,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.885,0.895,0.195908928990822,0.195908928990822,1.0,0.01043675573026255,0.030980236464516343,0.0,0.0,1.0
500,0.35,Selected-root bias envelope,200,0.15,0.0268503656764171,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.965,0.98,0.2578694019198548,0.2578694019198548,1.0,0.01043675573026255,0.030980236464516343,0.0,0.0,1.0
500,0.35,Root-robust bias envelope,200,0.15,0.0268503656764171,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.965,0.98,0.2578694019198548,0.2578694019198548,1.0,0.01043675573026255,0.030980236464516343,0.0,0.0,1.0
2000,0.2,Richardson Wald,200,0.1136787424882798,0.0161718304016581,0.02259566747141531,0.041998791005488666,0.03855681703360013,0.925,0.94,0.15114272277171267,0.15114272277171267,1.0,0.006210138015136744,0.021352627145921958,0.0,0.0,1.0
2000,0.2,Selected-root bias envelope,200,0.1136787424882798,0.0161718304016581,0.02259566747141531,0.041998791005488666,0.03855681703360013,0.965,1.0,0.1938479770635567,0.1938479770635567,1.0,0.006210138015136744,0.021352627145921958,0.0,0.0,1.0
2000,0.2,Root-robust bias envelope,200,0.1136787424882798,0.0161718304016581,0.02259566747141531,0.041998791005488666,0.03855681703360013,0.965,1.0,0.1938479770635567,0.1938479770635567,1.0,0.006210138015136744,0.021352627145921958,0.0,0.0,1.0
2000,0.35,Richardson Wald,200,0.0923358310008687,0.0104071347990963,0.01720201217610844,0.053169791176596405,0.05135475782425911,0.875,0.905,0.20131065067109585,0.20131065067109585,1.0,0.008002745339232646,0.028113257329476102,0.005,0.0,1.005
2000,0.35,Selected-root bias envelope,200,0.0923358310008687,0.0104071347990963,0.01720201217610844,0.053169791176596405,0.05135475782425911,0.975,0.99,0.25753716533004817,0.25753716533004817,1.0,0.008002745339232646,0.028113257329476102,0.005,0.0,1.005
2000,0.35,Root-robust bias envelope,200,0.0923358310008687,0.0104071347990963,0.01720201217610844,0.053169791176596405,0.05135475782425911,0.975,0.99,0.26118059148833195,0.26331284089755835,1.005,0.008002745339232646,0.028113257329476102,0.005,0.0,1.005
10000,0.2,Richardson Wald,200,0.0823920407479588,0.0079777727718191,0.009052056173566294,0.029611876034951252,0.025469318837891993,0.885,0.93,0.09983972984453673,0.09983972984453673,1.0,0.004477915666847786,0.014020563591839473,0.0,0.0,1.0
10000,0.2,Selected-root bias envelope,200,0.0823920407479588,0.0079777727718191,0.009052056173566294,0.029611876034951252,0.025469318837891993,0.965,0.985,0.12788085702821578,0.12788085702821578,1.0,0.004477915666847786,0.014020563591839473,0.0,0.0,1.0
10000,0.2,Root-robust bias envelope,200,0.0823920407479588,0.0079777727718191,0.009052056173566294,0.029611876034951252,0.025469318837891993,0.965,0.985,0.12788085702821578,0.12788085702821578,1.0,0.004477915666847786,0.014020563591839473,0.0,0.0,1.0
10000,0.35,Richardson Wald,200,0.0525691264789565,0.0023427226441282,0.00405416266514976,0.04594986068841211,0.04131524460519467,0.84,0.85,0.1619557588523633,0.1619557588523633,1.0,0.00510048850095233,0.021566454478817797,0.305,0.0,1.425
10000,0.35,Selected-root bias envelope,200,0.0525691264789565,0.0023427226441282,0.00405416266514976,0.04594986068841211,0.04131524460519467,0.915,0.92,0.205088667809999,0.205088667809999,1.0,0.00510048850095233,0.021566454478817797,0.305,0.0,1.425
10000,0.35,Root-robust bias envelope,200,0.0525691264789565,0.0023427226441282,0.00405416266514976,0.04594986068841211,0.04131524460519467,0.915,0.92,0.4064105125310858,0.4926229145177182,1.295,0.00510048850095233,0.021566454478817797,0.305,0.0,1.425
